"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Status"
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_03_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",7,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_04_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",8,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_mac_01_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",9,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_mac_02_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",10,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_mac_03_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",11,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_mac_04_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",12,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_mac_05_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",13,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_mac_06_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",14,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_mac_07_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",15,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_mac_08_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",16,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_liv_01.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",17,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_liv_02.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",18,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_liv_03.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",19,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_liv_04.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",20,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_liv_05.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",21,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_liv_06.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",22,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_-_web_size.jpg?optimize=high&fit=bounds&height=&width=&canvas=:",23,,,,,
"5529231","Gabor Side Table","This natural bamboo side table with an ebony finish base combines light and dark hues to create a modern statement piece. This natural bamboo side table has a square shape with clean sides in two tonal contrast. An angular line gently intersects the upper part in rich grain character with a base in a dark ebony finish, which combine to create an eye catching look.","",,"","Abstract","TRUE",,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5529231.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",,,,,,"active"
"5529231",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5529231_mac_03.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",2,,,,,
"5529231",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5529231_01.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",3,,,,,
